'10-17-2014 17:58:51',26521,104298,688142,173503,139984,40884
'10-17-2014 17:58:52',29672,22045,21093,70404,15026,13546
'10-17-2014 17:58:53',66455,78931,41460,76115,6476,6015
'10-17-2014 17:58:54',39976,79451,41552,31672,4109,4214
'10-17-2014 17:58:56',3902,2001,2403,2364,2613,399
'10-17-2014 17:59:00',6686,52685,81577,95724,5675,9013
'10-17-2014 17:59:01',32524,11156,13884,26520,7208,6055
'10-17-2014 17:59:02',134806,32061,28749,87270,11172,8145
'10-17-2014 17:59:03',48593,80742,20168,43875,24770,6717
'10-17-2014 17:59:04',24245,16663,16835,11906,7105,2961
